incident_id,year,month,day_of_week,season,time_of_day,country,area_type,population_density_per_sqkm,crime_type,crime_severity_score,victim_count,victim_gender,victim_age_group,injuries_reported,fatalities,financial_loss_usd,weapon_used,suspect_status,case_status,reporting_method,response_time_minutes,officers_assigned,investigation_duration_days,repeat_offender,gang_related,drug_related,cctv_coverage,lighting_condition,prior_incidents_same_location,safety_index,crime_resolved
CRM0000011,2020,3,Thursday,Spring,Night (10pm-2am),India,Suburban,563,Theft,2.6,1,Female,26-35,0,0,442.74,None,At Large,Pending Trial,Police Station,17.4,1,44,No,No,No,No Coverage,Partially Lit,4,66.6,Yes
CRM0000012,2024,12,Saturday,Summer,Late Night (2am-6am),South Africa,Remote,16,Robbery,7.4,1,Male,26-35,0,0,999.04,None,Unknown,Open - Active,Online Portal,35.7,4,8,No,Yes,Yes,Partial Coverage,Well Lit,2,50.7,Yes
CRM0000013,2024,4,Friday,Winter,Evening (6pm-10pm),Pakistan,Urban,364,Robbery,7.5,2,Female,36-45,3,1,1242.1,Knife,Convicted,Open - Active,Emergency Call,9.2,2,24,Unknown,No,No,No Coverage,Well Lit,1,56.2,No
CRM0000014,2021,9,Thursday,Winter,Night (10pm-2am),India,Urban,9032,Burglary,4.6,1,Male,46-55,0,0,98.7,Firearm,Under Investigation,Pending Trial,Police Station,27.3,10,67,No,No,No,Full Coverage,Poorly Lit,2,37.4,No
CRM0000015,2021,11,Saturday,Summer,Morning (6am-12pm),Germany,Urban,1596,Sexual Assault,8.8,1,Unknown,65+,3,0,658.83,None,At Large,Closed - Unsolved,Community Report,33.3,8,9,No,No,Unknown,Partial Coverage,Partially Lit,2,46.3,Yes
CRM0000016,2021,6,Wednesday,Summer,Night (10pm-2am),South Africa,Suburban,221,Burglary,6.2,2,Unknown,56-65,0,0,349.64,Unknown,Arrested,Closed - Solved,Police Station,23.6,5,54,Yes,Yes,No,Partial Coverage,Poorly Lit,1,48.9,No
CRM0000017,2021,4,Friday,Winter,Night (10pm-2am),India,Suburban,264,Robbery,7.1,5,Female,26-35,3,1,436.99,None,Under Investigation,Closed - Unsolved,Police Station,21.2,3,89,Unknown,No,Unknown,No Coverage,No Lighting,2,59.2,No
CRM0000018,2022,1,Wednesday,Winter,Night (10pm-2am),Nigeria,Suburban,501,Theft,3.8,2,Male,46-55,0,0,103.87,Blunt Object,At Large,Closed - Unsolved,Police Station,18.8,3,139,Yes,No,Unknown,Partial Coverage,Partially Lit,0,38.7,No
CRM0000019,2022,8,Sunday,Summer,Night (10pm-2am),Canada,Urban,1884,Robbery,7.5,1,Female,36-45,3,0,273.23,Firearm,Under Investigation,Closed - Solved,Police Station,24.0,6,9,No,No,No,Full Coverage,Well Lit,2,23.8,No
CRM0000020,2021,11,Sunday,Autumn,Night (10pm-2am),Pakistan,Rural,68,Kidnapping,7.4,1,Female,36-45,1,0,226.93,Blunt Object,At Large,Closed - Solved,Emergency Call,48.8,2,19,No,No,No,No Coverage,Partially Lit,3,79.3,No
CRM0000021,2023,2,Friday,Spring,Late Night (2am-6am),Canada,Remote,27,Theft,4.2,2,Male,56-65,0,0,1597.06,Unknown,Convicted,Closed - Unsolved,Community Report,132.4,3,68,No,No,Yes,No Coverage,Poorly Lit,1,90.2,No
CRM0000022,2020,11,Friday,Spring,Afternoon (12pm-6pm),Australia,Urban,1445,Theft,4.4,1,Female,18-25,0,0,699.72,None,Convicted,Closed - Solved,Police Station,58.9,3,18,Unknown,No,No,Full Coverage,Well Lit,4,33.9,No
CRM0000023,2021,11,Saturday,Spring,Night (10pm-2am),UK,Urban,485,Domestic Violence,6.9,2,Female,56-65,0,0,4.61,None,Unknown,Open - Cold Case,Emergency Call,41.3,2,16,No,No,No,Full Coverage,Well Lit,2,47.3,No
CRM0000024,2022,8,Thursday,Winter,Late Night (2am-6am),India,Rural,142,Murder,8.6,3,Male,26-35,2,3,72.41,Chemical,Arrested,Closed - Solved,Police Station,122.2,5,31,Yes,No,Yes,Partial Coverage,No Lighting,4,66.1,No
CRM0000025,2022,6,Saturday,Autumn,Afternoon (12pm-6pm),Egypt,Rural,56,Murder,9.9,1,Male,46-55,0,1,229.47,Knife,At Large,Open - Active,Anonymous Tip,118.5,4,22,No,No,No,No Coverage,Poorly Lit,4,44.9,Yes
CRM0000026,2023,8,Tuesday,Spring,Night (10pm-2am),UK,Suburban,307,Drug Offense,5.4,1,Male,26-35,0,0,35.56,None,Arrested,Closed - Unsolved,Police Station,24.7,6,51,Unknown,Unknown,No,No Coverage,No Lighting,3,48.6,Yes
CRM0000027,2021,6,Wednesday,Autumn,Morning (6am-12pm),Pakistan,Rural,58,Fraud,4.1,2,Male,65+,0,0,7975.52,None,Under Investigation,Closed - Solved,Anonymous Tip,148.0,1,15,No,Yes,Yes,No Coverage,Partially Lit,1,83.2,No
CRM0000028,2022,5,Tuesday,Autumn,Afternoon (12pm-6pm),Pakistan,Suburban,374,Drug Offense,5.2,2,Male,18-25,0,0,121.28,Blunt Object,Convicted,Open - Cold Case,Police Station,35.1,5,23,No,No,Yes,Partial Coverage,Well Lit,3,53.5,Yes
CRM0000029,2023,5,Thursday,Autumn,Night (10pm-2am),France,Rural,48,Arson,8.1,1,Unknown,46-55,5,1,222.77,None,Acquitted,Open - Cold Case,Police Station,35.1,2,33,No,No,No,Partial Coverage,Poorly Lit,2,65.7,No
CRM0000030,2020,10,Thursday,Autumn,Afternoon (12pm-6pm),Nigeria,Suburban,361,Theft,4.5,2,Female,36-45,0,0,46.35,Unknown,Arrested,Pending Trial,Emergency Call,40.1,3,24,No,Yes,No,No Coverage,Poorly Lit,3,57.5,Yes
CRM0000031,2023,10,Saturday,Spring,Evening (6pm-10pm),Canada,Urban,4480,Robbery,7.1,1,Male,26-35,1,0,259.25,Firearm,Arrested,Closed - Unsolved,Police Station,20.9,4,13,Yes,No,No,No Coverage,Partially Lit,1,63.6,Yes
CRM0000032,2021,11,Monday,Summer,Morning (6am-12pm),Mexico,Rural,199,Domestic Violence,5.7,1,Male,46-55,0,0,25.34,Unknown,At Large,Closed - Solved,Online Portal,71.3,1,8,Unknown,No,Yes,Partial Coverage,Partially Lit,1,65.7,Yes
CRM0000033,2020,8,Monday,Summer,Evening (6pm-10pm),South Africa,Suburban,205,Theft,3.9,1,Male,36-45,0,0,204.94,None,Acquitted,Closed - Solved,Police Station,19.2,4,51,Yes,No,No,Full Coverage,Well Lit,5,81.2,Yes
CRM0000034,2024,7,Wednesday,Winter,Evening (6pm-10pm),Egypt,Suburban,544,Vandalism,3.8,1,Male,Under 18,0,0,50.41,None,Under Investigation,Pending Trial,Emergency Call,44.9,2,20,Yes,No,No,Full Coverage,Poorly Lit,4,41.4,No
CRM0000035,2024,8,Sunday,Winter,Night (10pm-2am),UK,Suburban,661,Assault,5.5,1,Female,26-35,1,0,189.63,Firearm,At Large,Pending Trial,Police Station,24.4,2,35,Unknown,No,No,Partial Coverage,Partially Lit,2,59.5,No
CRM0000036,2024,12,Sunday,Summer,Night (10pm-2am),Nigeria,Urban,1827,Assault,7.4,1,Unknown,46-55,1,0,286.15,None,Under Investigation,Closed - Solved,Emergency Call,11.3,3,9,No,Yes,Unknown,Partial Coverage,Poorly Lit,3,36.9,No
CRM0000037,2021,8,Tuesday,Summer,Morning (6am-12pm),Canada,Suburban,292,Sexual Assault,8.4,5,Female,18-25,1,0,68.55,Firearm,At Large,Closed - Solved,Police Station,68.3,4,75,Yes,No,Unknown,Partial Coverage,Well Lit,0,72.5,No
CRM0000038,2020,7,Saturday,Summer,Afternoon (12pm-6pm),Germany,Rural,42,Burglary,6.4,2,Male,65+,0,0,274.19,None,Arrested,Closed - Solved,Emergency Call,57.6,3,31,No,Yes,Yes,Partial Coverage,Poorly Lit,6,63.7,No
CRM0000039,2023,2,Tuesday,Autumn,Late Night (2am-6am),France,Remote,30,Fraud,5.0,1,Female,26-35,0,0,3601.25,None,Unknown,Closed - Unsolved,Community Report,151.4,3,20,Yes,No,No,Full Coverage,No Lighting,2,45.7,No
CRM0000040,2022,11,Tuesday,Autumn,Night (10pm-2am),Nigeria,Urban,3375,Theft,3.1,1,Male,26-35,0,0,439.12,Knife,Unknown,Open - Active,Anonymous Tip,19.0,2,168,No,No,No,Partial Coverage,Partially Lit,2,22.7,No
CRM0000041,2020,9,Tuesday,Summer,Evening (6pm-10pm),Australia,Urban,1547,Robbery,8.1,1,Female,36-45,1,0,203.68,Knife,At Large,Open - Active,Community Report,46.2,2,16,No,Unknown,Yes,No Coverage,Well Lit,2,54.1,Yes
CRM0000042,2022,7,Tuesday,Summer,Evening (6pm-10pm),Pakistan,Suburban,271,Theft,4.7,1,Male,56-65,0,0,192.52,None,Under Investigation,Open - Active,Online Portal,31.1,6,49,No,No,Yes,Partial Coverage,Partially Lit,4,77.3,No
CRM0000043,2020,12,Tuesday,Spring,Morning (6am-12pm),India,Urban,980,Burglary,5.0,2,Male,18-25,0,0,319.68,None,Acquitted,Closed - Solved,Online Portal,5.2,6,42,No,Yes,No,Partial Coverage,Well Lit,1,36.0,No
CRM0000044,2024,11,Saturday,Autumn,Morning (6am-12pm),USA,Urban,269,Fraud,4.8,1,Male,Under 18,0,0,324.64,Blunt Object,At Large,Open - Cold Case,Emergency Call,17.4,5,17,No,Yes,Yes,Full Coverage,Well Lit,2,53.7,No
CRM0000045,2021,6,Thursday,Spring,Night (10pm-2am),Pakistan,Suburban,189,Robbery,6.7,2,Male,46-55,3,0,84.95,None,Arrested,Closed - Solved,Online Portal,21.8,2,30,No,No,No,No Coverage,Poorly Lit,3,48.9,No
CRM0000046,2023,9,Monday,Spring,Evening (6pm-10pm),USA,Urban,2024,Sexual Assault,7.6,2,Male,46-55,0,0,123.54,None,At Large,Pending Trial,Police Station,27.1,1,37,No,No,Unknown,Full Coverage,Well Lit,1,39.2,No
CRM0000047,2021,1,Friday,Autumn,Morning (6am-12pm),Pakistan,Rural,73,Robbery,8.3,1,Male,56-65,4,1,441.23,Knife,Convicted,Closed - Solved,Emergency Call,10.3,6,52,No,No,Unknown,No Coverage,Poorly Lit,6,64.1,No
CRM0000048,2022,11,Saturday,Summer,Evening (6pm-10pm),USA,Rural,19,Theft,2.6,1,Female,46-55,0,0,1647.65,None,Unknown,Closed - Unsolved,Police Station,76.9,3,30,Unknown,No,No,Partial Coverage,Well Lit,0,55.0,No
CRM0000049,2022,2,Friday,Autumn,Afternoon (12pm-6pm),Germany,Rural,208,Robbery,8.4,1,Male,26-35,1,0,58.89,None,Arrested,Closed - Solved,Emergency Call,101.4,5,37,No,No,Yes,No Coverage,Well Lit,1,48.5,No
CRM0000050,2021,1,Friday,Spring,Night (10pm-2am),UK,Suburban,165,Burglary,5.3,1,Female,46-55,0,0,683.78,Firearm,Convicted,Closed - Unsolved,Anonymous Tip,6.3,3,43,No,Unknown,Yes,Full Coverage,Well Lit,2,39.7,Yes
CRM0000051,2024,10,Friday,Autumn,Evening (6pm-10pm),UK,Remote,23,Arson,9.0,1,Female,26-35,9,1,223.21,None,At Large,Open - Active,Police Station,55.0,5,3,No,No,No,Full Coverage,Well Lit,2,38.4,Yes
CRM0000052,2023,12,Sunday,Autumn,Afternoon (12pm-6pm),India,Urban,8087,Fraud,3.8,1,Male,26-35,0,0,4569.37,Knife,Under Investigation,Closed - Solved,Police Station,36.3,1,20,No,No,Yes,Partial Coverage,Partially Lit,3,68.8,No
CRM0000053,2024,3,Thursday,Winter,Morning (6am-12pm),USA,Rural,78,Fraud,3.4,1,Male,18-25,0,0,1080.31,Unknown,Arrested,Open - Active,Police Station,61.1,5,36,Yes,No,No,No Coverage,No Lighting,3,59.8,Yes
CRM0000054,2024,11,Monday,Spring,Morning (6am-12pm),Turkey,Rural,129,Theft,2.2,2,Male,26-35,0,0,267.84,Knife,Convicted,Pending Trial,Police Station,76.0,5,2,Yes,No,Yes,Partial Coverage,Partially Lit,3,62.9,Yes
CRM0000055,2023,5,Sunday,Summer,Evening (6pm-10pm),Germany,Urban,3466,Extortion,7.5,1,Unknown,26-35,0,0,45491.3,Chemical,At Large,Closed - Unsolved,Police Station,44.4,2,37,No,No,Yes,Partial Coverage,Partially Lit,1,33.7,No
CRM0000056,2024,1,Monday,Spring,Night (10pm-2am),Nigeria,Urban,663,Robbery,7.3,2,Male,18-25,0,0,1554.53,Knife,Acquitted,Open - Cold Case,Police Station,10.1,4,238,No,Yes,No,Partial Coverage,Poorly Lit,2,52.9,No
CRM0000057,2020,4,Saturday,Autumn,Night (10pm-2am),India,Urban,2245,Cybercrime,3.0,1,Male,46-55,0,0,1135.79,Knife,At Large,Open - Active,Community Report,29.0,1,70,Yes,No,No,Full Coverage,Well Lit,2,60.7,No
CRM0000058,2021,8,Monday,Winter,Night (10pm-2am),Mexico,Urban,702,Robbery,8.6,1,Unknown,56-65,3,0,161.78,Knife,Under Investigation,Closed - Unsolved,Police Station,37.5,2,14,No,No,No,Partial Coverage,Partially Lit,3,77.2,No
CRM0000059,2020,6,Wednesday,Spring,Evening (6pm-10pm),India,Urban,928,Murder,9.8,4,Male,36-45,2,1,222.61,None,Under Investigation,Pending Trial,Police Station,21.1,2,306,Unknown,No,No,No Coverage,Well Lit,0,59.3,No
CRM0000060,2021,1,Saturday,Spring,Evening (6pm-10pm),UK,Suburban,303,Theft,4.4,1,Male,56-65,0,0,696.28,Chemical,Acquitted,Closed - Solved,Police Station,13.9,1,7,No,Yes,No,Partial Coverage,Partially Lit,3,62.2,Yes
CRM0000061,2022,12,Tuesday,Autumn,Afternoon (12pm-6pm),Egypt,Urban,800,Fraud,4.0,1,Female,36-45,0,0,24818.45,Firearm,Arrested,Open - Cold Case,Community Report,15.3,3,19,Yes,No,No,Full Coverage,No Lighting,2,32.4,No
CRM0000062,2021,1,Tuesday,Summer,Evening (6pm-10pm),Germany,Urban,1093,Sexual Assault,8.1,3,Female,36-45,1,0,120.7,None,Under Investigation,Pending Trial,Police Station,18.9,4,124,Yes,No,Yes,Partial Coverage,Well Lit,1,60.2,No
CRM0000063,2024,3,Monday,Summer,Late Night (2am-6am),Nigeria,Suburban,283,Burglary,6.2,4,Female,36-45,0,0,66.86,Vehicle,At Large,Closed - Unsolved,Police Station,54.1,4,33,No,No,No,Full Coverage,Well Lit,4,84.8,Yes
CRM0000064,2022,10,Saturday,Summer,Evening (6pm-10pm),Australia,Suburban,446,Vandalism,2.5,4,Male,65+,0,0,41.52,Vehicle,At Large,Closed - Unsolved,Online Portal,38.5,3,72,No,Unknown,Yes,Partial Coverage,Well Lit,0,47.0,No
CRM0000065,2021,8,Friday,Autumn,Morning (6am-12pm),France,Urban,2355,Domestic Violence,5.5,1,Female,18-25,3,0,33.74,Knife,Under Investigation,Closed - Solved,Emergency Call,25.2,1,91,No,Unknown,No,Full Coverage,Well Lit,4,76.5,No
CRM0000066,2022,11,Thursday,Summer,Late Night (2am-6am),Mexico,Urban,4912,Vandalism,1.7,2,Female,46-55,0,0,3.63,Blunt Object,At Large,Closed - Unsolved,Community Report,17.6,1,74,No,No,Yes,Partial Coverage,Well Lit,0,29.9,No
CRM0000067,2020,11,Thursday,Autumn,Evening (6pm-10pm),India,Urban,1584,Murder,9.9,3,Male,Under 18,3,2,112.71,None,At Large,Closed - Solved,Online Portal,7.3,5,8,Yes,No,Unknown,Partial Coverage,Partially Lit,3,34.8,Yes
CRM0000068,2024,8,Wednesday,Summer,Morning (6am-12pm),Pakistan,Suburban,455,Theft,2.5,1,Unknown,18-25,0,0,1274.7,Firearm,Convicted,Open - Active,Emergency Call,21.4,3,15,No,No,No,No Coverage,Poorly Lit,2,47.0,No
CRM0000069,2020,3,Sunday,Summer,Evening (6pm-10pm),USA,Suburban,1692,Vandalism,3.2,2,Female,18-25,0,0,115.4,Blunt Object,Under Investigation,Pending Trial,Emergency Call,22.4,4,26,No,No,No,Full Coverage,Poorly Lit,4,81.1,No
CRM0000070,2024,7,Friday,Summer,Evening (6pm-10pm),USA,Rural,73,Burglary,5.4,1,Male,18-25,0,0,273.21,Vehicle,Arrested,Open - Cold Case,Online Portal,62.5,1,55,Unknown,No,No,No Coverage,Partially Lit,1,47.2,No
CRM0000071,2023,12,Wednesday,Winter,Night (10pm-2am),India,Urban,8009,Domestic Violence,7.2,1,Female,36-45,4,0,35.65,Firearm,At Large,Pending Trial,Anonymous Tip,23.1,3,32,No,No,No,No Coverage,Partially Lit,1,51.4,No
CRM0000072,2021,3,Tuesday,Winter,Night (10pm-2am),Turkey,Rural,166,Vandalism,3.0,1,Male,26-35,0,0,32.46,Knife,Arrested,Open - Active,Police Station,89.1,6,12,Yes,No,Yes,No Coverage,Well Lit,3,46.2,No
CRM0000073,2020,4,Tuesday,Autumn,Morning (6am-12pm),France,Urban,1605,Cybercrime,4.3,1,Male,18-25,0,0,1323.62,Vehicle,Acquitted,Open - Cold Case,Emergency Call,38.9,4,19,Yes,No,No,Partial Coverage,Partially Lit,2,71.0,Yes
CRM0000074,2024,9,Saturday,Autumn,Night (10pm-2am),USA,Rural,37,Kidnapping,7.7,3,Female,26-35,9,0,122.19,Unknown,Arrested,Closed - Solved,Emergency Call,52.8,4,75,Yes,No,No,No Coverage,Partially Lit,4,74.7,No
CRM0000075,2023,4,Saturday,Spring,Evening (6pm-10pm),Germany,Remote,17,Assault,7.3,2,Male,65+,3,0,575.4,Firearm,Convicted,Pending Trial,Community Report,19.7,3,3,No,Yes,Unknown,Full Coverage,Well Lit,3,70.2,No
CRM0000076,2023,3,Monday,Winter,Morning (6am-12pm),UK,Rural,33,Robbery,7.0,1,Male,46-55,4,1,996.55,Knife,Arrested,Closed - Solved,Emergency Call,41.3,4,29,No,No,No,Full Coverage,Poorly Lit,2,63.6,No
CRM0000077,2023,5,Monday,Spring,Night (10pm-2am),Indonesia,Urban,1913,Robbery,8.4,1,Male,36-45,3,0,168.85,None,Arrested,Open - Cold Case,Community Report,8.6,4,84,No,No,No,Partial Coverage,Partially Lit,3,43.1,No
CRM0000078,2020,7,Tuesday,Spring,Evening (6pm-10pm),Brazil,Suburban,1970,Murder,9.4,1,Male,26-35,4,2,65.62,None,Under Investigation,Closed - Solved,Anonymous Tip,66.7,1,103,No,No,No,Partial Coverage,Poorly Lit,4,75.1,No
CRM0000079,2022,5,Sunday,Autumn,Evening (6pm-10pm),USA,Suburban,324,Robbery,7.7,3,Male,26-35,4,0,2330.08,None,At Large,Closed - Unsolved,Online Portal,28.9,1,5,Yes,No,No,Full Coverage,Well Lit,2,51.8,No
CRM0000080,2020,4,Wednesday,Winter,Night (10pm-2am),USA,Urban,3182,Vandalism,2.1,1,Male,46-55,0,0,59.23,None,Arrested,Closed - Solved,Emergency Call,33.0,2,15,No,No,No,No Coverage,Well Lit,1,18.0,No
CRM0000081,2024,8,Wednesday,Winter,Evening (6pm-10pm),Nigeria,Suburban,346,Assault,5.6,1,Male,65+,4,0,71.24,Unknown,At Large,Closed - Unsolved,Emergency Call,32.1,1,184,No,Unknown,No,No Coverage,Poorly Lit,0,73.0,Yes
CRM0000082,2023,4,Saturday,Winter,Evening (6pm-10pm),USA,Suburban,909,Robbery,8.1,2,Female,18-25,3,0,450.65,None,Arrested,Open - Cold Case,Online Portal,51.8,3,7,No,No,No,No Coverage,Partially Lit,2,77.2,No
CRM0000083,2022,2,Saturday,Spring,Evening (6pm-10pm),Nigeria,Urban,723,Theft,2.3,1,Unknown,18-25,0,0,80.94,Unknown,At Large,Closed - Solved,Police Station,22.4,8,51,No,No,No,Full Coverage,Well Lit,2,17.6,No
CRM0000084,2020,10,Saturday,Summer,Evening (6pm-10pm),Indonesia,Rural,88,Murder,9.9,1,Female,18-25,2,2,45.65,None,Under Investigation,Open - Active,Community Report,17.9,4,85,Yes,No,No,Partial Coverage,Partially Lit,1,55.8,No
CRM0000085,2021,6,Wednesday,Autumn,Afternoon (12pm-6pm),UK,Rural,40,Theft,4.9,3,Unknown,36-45,0,0,193.54,None,Unknown,Pending Trial,Online Portal,88.4,4,67,No,Unknown,No,No Coverage,Well Lit,0,80.1,No
CRM0000086,2021,2,Saturday,Summer,Afternoon (12pm-6pm),India,Suburban,1069,Assault,5.4,4,Male,18-25,0,0,363.28,Firearm,At Large,Closed - Unsolved,Emergency Call,44.2,5,55,No,No,No,Partial Coverage,Poorly Lit,1,68.1,No
CRM0000087,2023,3,Saturday,Spring,Afternoon (12pm-6pm),Egypt,Urban,1870,Burglary,4.3,1,Female,18-25,0,0,286.01,Knife,Arrested,Open - Active,Online Portal,12.5,6,33,Unknown,No,No,No Coverage,Poorly Lit,3,47.2,No
CRM0000088,2023,1,Wednesday,Summer,Evening (6pm-10pm),South Africa,Urban,2724,Extortion,6.2,1,Female,18-25,0,0,8479.23,None,At Large,Open - Cold Case,Online Portal,38.5,2,39,No,No,No,Partial Coverage,Well Lit,0,48.6,No
CRM0000089,2024,5,Monday,Autumn,Evening (6pm-10pm),Pakistan,Urban,2736,Vandalism,3.9,2,Male,26-35,0,0,65.36,Firearm,Arrested,Open - Active,Police Station,31.7,1,12,Yes,No,No,No Coverage,Partially Lit,0,65.9,Yes
CRM0000090,2022,9,Sunday,Winter,Evening (6pm-10pm),Pakistan,Remote,9,Theft,3.2,1,Male,46-55,0,0,77.19,None,Unknown,Closed - Unsolved,Police Station,101.0,4,36,Unknown,No,Unknown,Partial Coverage,Poorly Lit,2,49.6,Yes
CRM0000091,2020,2,Sunday,Autumn,Night (10pm-2am),Pakistan,Urban,637,Robbery,7.1,1,Female,46-55,4,0,2670.07,Unknown,At Large,Open - Active,Emergency Call,17.8,3,101,No,No,Yes,Partial Coverage,Well Lit,1,48.1,Yes
CRM0000092,2023,12,Thursday,Summer,Late Night (2am-6am),Germany,Rural,130,Fraud,5.8,1,Male,18-25,0,0,483.73,None,Convicted,Closed - Unsolved,Police Station,54.1,6,6,No,No,No,Partial Coverage,Partially Lit,2,47.5,Yes
CRM0000093,2023,7,Tuesday,Autumn,Evening (6pm-10pm),Canada,Urban,2420,Domestic Violence,5.5,2,Female,26-35,1,0,30.41,Blunt Object,Unknown,Closed - Solved,Police Station,33.2,6,23,No,No,No,Partial Coverage,Poorly Lit,1,54.2,Yes
CRM0000094,2023,5,Saturday,Summer,Afternoon (12pm-6pm),Brazil,Urban,2456,Domestic Violence,6.1,1,Male,46-55,0,0,34.04,None,Unknown,Closed - Unsolved,Police Station,10.8,8,15,No,Yes,No,Partial Coverage,Poorly Lit,2,57.2,Yes
CRM0000095,2023,2,Saturday,Winter,Evening (6pm-10pm),Pakistan,Rural,141,Assault,5.9,3,Unknown,26-35,2,0,329.47,None,Under Investigation,Open - Active,Online Portal,38.3,4,97,No,No,No,Partial Coverage,No Lighting,3,32.4,No
CRM0000096,2022,8,Tuesday,Winter,Late Night (2am-6am),UK,Urban,1543,Theft,3.8,2,Female,46-55,0,0,190.97,Firearm,Unknown,Open - Active,Emergency Call,27.7,3,19,Yes,No,No,Partial Coverage,Well Lit,2,74.7,No
CRM0000097,2022,11,Sunday,Summer,Afternoon (12pm-6pm),Egypt,Remote,15,Sexual Assault,7.5,2,Male,26-35,0,0,62.06,None,At Large,Closed - Unsolved,Police Station,32.0,4,343,No,Yes,No,No Coverage,Partially Lit,3,58.4,No
CRM0000098,2022,6,Thursday,Autumn,Night (10pm-2am),South Africa,Suburban,144,Drug Offense,5.6,1,Male,Under 18,0,0,128.1,None,Under Investigation,Closed - Unsolved,Police Station,50.6,2,166,Yes,Yes,No,Partial Coverage,Poorly Lit,2,42.4,No
CRM0000099,2020,4,Sunday,Autumn,Late Night (2am-6am),Egypt,Suburban,1083,Drug Offense,6.6,3,Male,65+,0,0,41.29,Blunt Object,Convicted,Closed - Solved,Police Station,33.1,1,12,Unknown,No,No,Full Coverage,Partially Lit,1,67.3,No
CRM0000100,2020,4,Friday,Winter,Evening (6pm-10pm),France,Suburban,424,Extortion,6.5,2,Female,Under 18,0,0,7738.53,Knife,At Large,Closed - Solved,Anonymous Tip,16.4,3,10,Yes,Yes,No,Partial Coverage,Poorly Lit,4,44.4,Yes
CRM0000101,2020,2,Friday,Summer,Evening (6pm-10pm),Pakistan,Urban,503,Assault,7.1,3,Female,26-35,0,0,1658.89,Knife,Arrested,Closed - Unsolved,Police Station,32.0,4,123,Unknown,No,Unknown,No Coverage,Partially Lit,6,55.4,No
CRM0000102,2023,3,Saturday,Winter,Late Night (2am-6am),Australia,Suburban,184,Cybercrime,3.2,1,Male,46-55,0,0,1545.57,None,At Large,Pending Trial,Police Station,44.7,5,27,Unknown,No,No,No Coverage,Partially Lit,4,79.5,Yes
